Dato,Tid,Lufttemperatur
2020-04-22,00:30,9.4
2020-04-22,00:40,9.3
2020-04-22,00:50,8.8
2020-04-22,01:00,9
2020-04-22,01:10,8.7
2020-04-22,01:20,9
2020-04-22,01:30,8.9
2020-04-22,01:40,8.9
2020-04-22,01:50,8.7
2020-04-22,02:00,8.8
2020-04-22,02:10,8.6
2020-04-22,02:20,8
2020-04-22,02:30,8
2020-04-22,02:40,8.3
2020-04-22,02:50,8.1
2020-04-22,03:00,8.1
2020-04-22,03:10,8
2020-04-22,03:20,8
2020-04-22,03:30,7.9
2020-04-22,03:40,7.9
2020-04-22,03:50,7.6
2020-04-22,04:00,7.5
2020-04-22,04:10,7.6
2020-04-22,04:20,7.5
2020-04-22,04:30,7.5
2020-04-22,04:40,7.8
2020-04-22,04:50,7.4
2020-04-22,05:00,7.6
2020-04-22,05:10,7.6
2020-04-22,05:20,8.4
2020-04-22,05:30,9.4
2020-04-22,05:40,10
2020-04-22,05:50,9.4
2020-04-22,06:00,9.9
2020-04-22,06:10,10.4
2020-04-22,06:20,10.5
2020-04-22,06:30,11.3
2020-04-22,06:40,11.8
2020-04-22,06:50,11.8
2020-04-22,07:00,11.2
2020-04-22,07:10,11.4
2020-04-22,07:20,12.6
2020-04-22,07:30,13.2
2020-04-22,07:40,14
2020-04-22,07:50,13.7
2020-04-22,08:00,14.1
2020-04-22,08:10,14.2
2020-04-22,08:20,14.2
2020-04-22,08:30,14.3
2020-04-22,08:40,14.4
2020-04-22,08:50,14.1
2020-04-22,09:00,14.1
2020-04-22,09:10,14.5
2020-04-22,09:20,14.7
2020-04-22,09:30,14.8
2020-04-22,09:40,15.1
2020-04-22,09:50,15.7
2020-04-22,10:00,15.7
2020-04-22,10:10,16.2
2020-04-22,10:20,16
2020-04-22,10:30,15.5
2020-04-22,10:40,15.7
2020-04-22,10:50,15.8
2020-04-22,11:00,16.5
2020-04-22,11:10,16.1
2020-04-22,11:20,16.4
2020-04-22,11:30,16.4
2020-04-22,11:40,16.3
2020-04-22,11:50,16.5
2020-04-22,12:00,16.9
2020-04-22,12:10,17.3
2020-04-22,12:20,16.9
2020-04-22,12:30,17.1
2020-04-22,12:40,17.2
2020-04-22,12:50,17.7
2020-04-22,13:00,17.8
2020-04-22,13:10,17.5
2020-04-22,13:20,17.2
2020-04-22,13:30,17.5
2020-04-22,13:40,17.4
2020-04-22,13:50,17.4
2020-04-22,14:00,18
2020-04-22,14:10,17.8
2020-04-22,14:20,17.7
2020-04-22,14:30,17.6
2020-04-22,14:40,18
2020-04-22,14:50,18
2020-04-22,15:00,17.9
2020-04-22,15:10,18.1
2020-04-22,15:20,17.8
2020-04-22,15:30,17.4
2020-04-22,15:40,17.3
2020-04-22,15:50,17.4
2020-04-22,16:00,17.5
2020-04-22,16:10,17.2
2020-04-22,16:20,17.1
2020-04-22,16:30,17.2
2020-04-22,16:40,16.8
2020-04-22,16:50,16.7
2020-04-22,17:00,16.7
2020-04-22,17:10,16.5
2020-04-22,17:20,16.3
2020-04-22,17:30,16.3
2020-04-22,17:40,16
2020-04-22,17:50,15.9
2020-04-22,18:00,15.7
2020-04-22,18:10,15.5
2020-04-22,18:20,15.3
2020-04-22,18:30,15
2020-04-22,18:40,14.8
2020-04-22,18:50,14.6
2020-04-22,19:00,14.2
2020-04-22,19:10,13.9
2020-04-22,19:20,13.6
2020-04-22,19:30,13.4
2020-04-22,19:40,13.1
2020-04-22,19:50,13
2020-04-22,20:00,12.8
2020-04-22,20:10,12.8
2020-04-22,20:20,12.6
2020-04-22,20:30,12.4
2020-04-22,20:40,12.1
2020-04-22,20:50,12
2020-04-22,21:00,11.7
2020-04-22,21:10,11.6
2020-04-22,21:20,11.5
2020-04-22,21:30,11.3
2020-04-22,21:40,11.3
2020-04-22,21:50,11.1
2020-04-22,22:00,10.9
2020-04-22,22:10,10.7
2020-04-22,22:20,10.6
2020-04-22,22:30,10.5
2020-04-22,22:40,10.3
2020-04-22,22:50,10.1
2020-04-22,23:00,9.9
2020-04-22,23:10,9.8
2020-04-22,23:20,9.8
2020-04-22,23:30,9.6
2020-04-22,23:40,9.5
2020-04-22,23:50,9.4
