Navn;Stasjon;Tid(norsk normaltid);Nedbør (mnd)
Bergen - Florida;SN50540;05.1998;51,2
Bergen - Florida;SN50540;06.1998;128,6
Bergen - Florida;SN50540;07.1998;198,6
Bergen - Florida;SN50540;08.1998;237,6
Bergen - Florida;SN50540;09.1998;62,2
Bergen - Florida;SN50540;10.1998;301
Bergen - Florida;SN50540;11.1998;190,1
Bergen - Florida;SN50540;12.1998;290
Bergen - Florida;SN50540;01.1999;295,8
Bergen - Florida;SN50540;02.1999;265,7
Bergen - Florida;SN50540;03.1999;266,9
Bergen - Florida;SN50540;04.1999;199,7
Bergen - Florida;SN50540;05.1999;136,4
Bergen - Florida;SN50540;06.1999;199,5
Bergen - Florida;SN50540;07.1999;211,5
Bergen - Florida;SN50540;08.1999;102,1
Bergen - Florida;SN50540;09.1999;233,5
Bergen - Florida;SN50540;10.1999;218,7
Bergen - Florida;SN50540;11.1999;333,5
Bergen - Florida;SN50540;12.1999;355,2
Bergen - Florida;SN50540;01.2000;378,4
Bergen - Florida;SN50540;02.2000;330,2
Bergen - Florida;SN50540;03.2000;240,5
Bergen - Florida;SN50540;04.2000;115,5
Bergen - Florida;SN50540;05.2000;131,1
Bergen - Florida;SN50540;06.2000;176,8
Bergen - Florida;SN50540;07.2000;40,9
Bergen - Florida;SN50540;08.2000;297,6
Bergen - Florida;SN50540;09.2000;143,8
Bergen - Florida;SN50540;10.2000;222,1
Bergen - Florida;SN50540;11.2000;154,6
Bergen - Florida;SN50540;12.2000;164,4
Bergen - Florida;SN50540;01.2001;79
Bergen - Florida;SN50540;02.2001;132
Bergen - Florida;SN50540;03.2001;111,9
Bergen - Florida;SN50540;04.2001;123,7
Bergen - Florida;SN50540;05.2001;77,8
Bergen - Florida;SN50540;06.2001;166,3
Bergen - Florida;SN50540;07.2001;148,2
Bergen - Florida;SN50540;08.2001;235
Bergen - Florida;SN50540;09.2001;113,1
Bergen - Florida;SN50540;10.2001;332,4
Bergen - Florida;SN50540;11.2001;367,3
Bergen - Florida;SN50540;12.2001;203
Bergen - Florida;SN50540;01.2002;288,9
Bergen - Florida;SN50540;02.2002;266,4
Bergen - Florida;SN50540;03.2002;188,3
Bergen - Florida;SN50540;04.2002;107,1
Bergen - Florida;SN50540;05.2002;102,5
Bergen - Florida;SN50540;06.2002;203,4
Bergen - Florida;SN50540;07.2002;223,7
Bergen - Florida;SN50540;08.2002;165,8
Bergen - Florida;SN50540;09.2002;160,3
Bergen - Florida;SN50540;10.2002;174,9
Bergen - Florida;SN50540;11.2002;118,5
Bergen - Florida;SN50540;12.2002;59
Bergen - Florida;SN50540;01.2003;368,8
Bergen - Florida;SN50540;02.2003;140
Bergen - Florida;SN50540;03.2003;95,1
Bergen - Florida;SN50540;04.2003;82,9
Bergen - Florida;SN50540;05.2003;196,3
Bergen - Florida;SN50540;06.2003;208,9
Bergen - Florida;SN50540;07.2003;175,9
Bergen - Florida;SN50540;08.2003;180,9
Bergen - Florida;SN50540;09.2003;364,5
Bergen - Florida;SN50540;10.2003;254,4
Bergen - Florida;SN50540;11.2003;213,5
Bergen - Florida;SN50540;12.2003;347,5
Bergen - Florida;SN50540;01.2004;182,1
Bergen - Florida;SN50540;02.2004;141,2
Bergen - Florida;SN50540;03.2004;136,7
Bergen - Florida;SN50540;04.2004;175,8
Bergen - Florida;SN50540;05.2004;95,4
Bergen - Florida;SN50540;06.2004;120
Bergen - Florida;SN50540;07.2004;131,6
Bergen - Florida;SN50540;08.2004;155,1
Bergen - Florida;SN50540;09.2004;381
Bergen - Florida;SN50540;10.2004;151
Bergen - Florida;SN50540;11.2004;354,6
Bergen - Florida;SN50540;12.2004;567,6
Bergen - Florida;SN50540;01.2005;465,6
Bergen - Florida;SN50540;02.2005;175,6
Bergen - Florida;SN50540;03.2005;169,2
Bergen - Florida;SN50540;04.2005;149,8
Bergen - Florida;SN50540;05.2005;162,7
Bergen - Florida;SN50540;06.2005;139,3
Bergen - Florida;SN50540;07.2005;88,9
Bergen - Florida;SN50540;08.2005;224,8
Bergen - Florida;SN50540;09.2005;450,3
Bergen - Florida;SN50540;10.2005;255,7
Bergen - Florida;SN50540;11.2005;558,8
Bergen - Florida;SN50540;12.2005;211,1
Bergen - Florida;SN50540;01.2006;156,6
Bergen - Florida;SN50540;02.2006;132,9
Bergen - Florida;SN50540;03.2006;54,9
Bergen - Florida;SN50540;04.2006;205,4
Bergen - Florida;SN50540;05.2006;70,4
Bergen - Florida;SN50540;06.2006;130,5
Bergen - Florida;SN50540;07.2006;180,5
Bergen - Florida;SN50540;08.2006;94,5
Bergen - Florida;SN50540;09.2006;226,9
Bergen - Florida;SN50540;10.2006;288,3
Bergen - Florida;SN50540;11.2006;475,3
Bergen - Florida;SN50540;12.2006;496,7
Bergen - Florida;SN50540;01.2007;423,9
Bergen - Florida;SN50540;02.2007;134,5
Bergen - Florida;SN50540;03.2007;263,4
Bergen - Florida;SN50540;04.2007;181,1
Bergen - Florida;SN50540;05.2007;188
Bergen - Florida;SN50540;06.2007;24,2
Bergen - Florida;SN50540;07.2007;245,9
Bergen - Florida;SN50540;08.2007;330,8
Bergen - Florida;SN50540;09.2007;363,1
Bergen - Florida;SN50540;10.2007;213,1
Bergen - Florida;SN50540;11.2007;373,8
Bergen - Florida;SN50540;12.2007;276,3
Bergen - Florida;SN50540;01.2008;329
Bergen - Florida;SN50540;02.2008;321,8
Bergen - Florida;SN50540;03.2008;217
Bergen - Florida;SN50540;04.2008;120,8
Bergen - Florida;SN50540;05.2008;17,5
Bergen - Florida;SN50540;06.2008;173
Bergen - Florida;SN50540;07.2008;114,4
Bergen - Florida;SN50540;08.2008;166,4
Bergen - Florida;SN50540;09.2008;145,3
Bergen - Florida;SN50540;10.2008;494,4
Bergen - Florida;SN50540;11.2008;277,3
Bergen - Florida;SN50540;12.2008;168,2
Bergen - Florida;SN50540;01.2009;197,7
Bergen - Florida;SN50540;02.2009;176,9
Bergen - Florida;SN50540;03.2009;235,7
Bergen - Florida;SN50540;04.2009;93,4
Bergen - Florida;SN50540;05.2009;176
Bergen - Florida;SN50540;06.2009;45,1
Bergen - Florida;SN50540;07.2009;146,9
Bergen - Florida;SN50540;08.2009;200
Bergen - Florida;SN50540;09.2009;360,8
Bergen - Florida;SN50540;10.2009;123,2
Bergen - Florida;SN50540;11.2009;266,3
Bergen - Florida;SN50540;12.2009;70,5
Bergen - Florida;SN50540;01.2010;37
Bergen - Florida;SN50540;02.2010;39
Bergen - Florida;SN50540;03.2010;204,3
Bergen - Florida;SN50540;04.2010;176,1
Bergen - Florida;SN50540;05.2010;56
Bergen - Florida;SN50540;06.2010;75
Bergen - Florida;SN50540;07.2010;171,6
Bergen - Florida;SN50540;08.2010;167,7
Bergen - Florida;SN50540;09.2010;241
Bergen - Florida;SN50540;10.2010;284,5
Bergen - Florida;SN50540;11.2010;95,6
Bergen - Florida;SN50540;12.2010;76,3
Bergen - Florida;SN50540;01.2011;236,4
Bergen - Florida;SN50540;02.2011;169,4
Bergen - Florida;SN50540;03.2011;219,1
Bergen - Florida;SN50540;04.2011;148
Bergen - Florida;SN50540;05.2011;136,4
Bergen - Florida;SN50540;06.2011;248,1
Bergen - Florida;SN50540;07.2011;103
Bergen - Florida;SN50540;08.2011;109,4
Bergen - Florida;SN50540;09.2011;359,9
Bergen - Florida;SN50540;10.2011;303
Bergen - Florida;SN50540;11.2011;297,4
Bergen - Florida;SN50540;12.2011;352,4
Bergen - Florida;SN50540;01.2012;256,8
Bergen - Florida;SN50540;02.2012;286,2
Bergen - Florida;SN50540;03.2012;242,4
Bergen - Florida;SN50540;04.2012;101,7
Bergen - Florida;SN50540;05.2012;117,5
Bergen - Florida;SN50540;06.2012;54,8
Bergen - Florida;SN50540;07.2012;182,7
Bergen - Florida;SN50540;08.2012;202,7
Bergen - Florida;SN50540;09.2012;408,5
Bergen - Florida;SN50540;10.2012;224,6
Bergen - Florida;SN50540;11.2012;393,1
Bergen - Florida;SN50540;12.2012;161,6
Bergen - Florida;SN50540;01.2013;150,4
Bergen - Florida;SN50540;02.2013;79,3
Bergen - Florida;SN50540;03.2013;17,9
Bergen - Florida;SN50540;04.2013;219,5
Bergen - Florida;SN50540;05.2013;129,7
Bergen - Florida;SN50540;06.2013;158,9
Bergen - Florida;SN50540;07.2013;167,6
Bergen - Florida;SN50540;08.2013;214,7
Bergen - Florida;SN50540;09.2013;202,1
Bergen - Florida;SN50540;10.2013;343,1
Bergen - Florida;SN50540;11.2013;352,7
Bergen - Florida;SN50540;12.2013;433,6
Bergen - Florida;SN50540;01.2014;101,2
Bergen - Florida;SN50540;02.2014;200,2
Bergen - Florida;SN50540;03.2014;278,4
Bergen - Florida;SN50540;04.2014;131,1
Bergen - Florida;SN50540;05.2014;96,7
Bergen - Florida;SN50540;06.2014;58,6
Bergen - Florida;SN50540;07.2014;162,7
Bergen - Florida;SN50540;08.2014;206
Bergen - Florida;SN50540;09.2014;127,9
Bergen - Florida;SN50540;10.2014;473,1
Bergen - Florida;SN50540;11.2014;169,3
Bergen - Florida;SN50540;12.2014;423,4
Bergen - Florida;SN50540;01.2015;516,1
Bergen - Florida;SN50540;02.2015;246,4
Bergen - Florida;SN50540;03.2015;349
Bergen - Florida;SN50540;04.2015;140,9
Bergen - Florida;SN50540;05.2015;240,5
Bergen - Florida;SN50540;06.2015;129,8
Bergen - Florida;SN50540;07.2015;108,2
Bergen - Florida;SN50540;08.2015;192,4
Bergen - Florida;SN50540;09.2015;121,9
Bergen - Florida;SN50540;10.2015;167,1
Bergen - Florida;SN50540;11.2015;433,6
Bergen - Florida;SN50540;12.2015;455,8
Bergen - Florida;SN50540;01.2016;172,9
Bergen - Florida;SN50540;02.2016;268,3
Bergen - Florida;SN50540;03.2016;115,3
Bergen - Florida;SN50540;04.2016;104,3
Bergen - Florida;SN50540;05.2016;87,1
Bergen - Florida;SN50540;06.2016;83,5
Bergen - Florida;SN50540;07.2016;263,5
Bergen - Florida;SN50540;08.2016;368,7
Bergen - Florida;SN50540;09.2016;262,2
Bergen - Florida;SN50540;10.2016;93,6
Bergen - Florida;SN50540;11.2016;316,5
Bergen - Florida;SN50540;12.2016;320,4
Bergen - Florida;SN50540;01.2017;265,9
Bergen - Florida;SN50540;02.2017;171,8
Bergen - Florida;SN50540;03.2017;186,9
Bergen - Florida;SN50540;04.2017;215,5
Bergen - Florida;SN50540;05.2017;62,7
Bergen - Florida;SN50540;06.2017;270,4
Bergen - Florida;SN50540;07.2017;163
Bergen - Florida;SN50540;08.2017;344,6
Bergen - Florida;SN50540;09.2017;138,5
Bergen - Florida;SN50540;10.2017;403,8
Bergen - Florida;SN50540;11.2017;369,1
Bergen - Florida;SN50540;12.2017;499,8
Bergen - Florida;SN50540;01.2018;217,2
Bergen - Florida;SN50540;02.2018;141,6
Bergen - Florida;SN50540;03.2018;61,3
Bergen - Florida;SN50540;04.2018;137
Bergen - Florida;SN50540;05.2018;62,2
Bergen - Florida;SN50540;06.2018;101,1
Bergen - Florida;SN50540;07.2018;50,7
Bergen - Florida;SN50540;08.2018;345,2
Bergen - Florida;SN50540;09.2018;520,3
Bergen - Florida;SN50540;10.2018;539,9
Bergen - Florida;SN50540;11.2018;74,7
Bergen - Florida;SN50540;12.2018;135,7
Bergen - Florida;SN50540;01.2019;190,9
Bergen - Florida;SN50540;02.2019;117,1
Bergen - Florida;SN50540;03.2019;249,5
Bergen - Florida;SN50540;04.2019;12,9
Bergen - Florida;SN50540;05.2019;89,9
Bergen - Florida;SN50540;06.2019;159,6
Bergen - Florida;SN50540;07.2019;151,5
Bergen - Florida;SN50540;08.2019;399,6
Bergen - Florida;SN50540;09.2019;259,5
Bergen - Florida;SN50540;10.2019;292,2
Bergen - Florida;SN50540;11.2019;58,5
Bergen - Florida;SN50540;12.2019;365,5
Bergen - Florida;SN50540;01.2020;466,4
Bergen - Florida;SN50540;02.2020;336,9
Bergen - Florida;SN50540;03.2020;256,6
Bergen - Florida;SN50540;04.2020;175,3
Bergen - Florida;SN50540;05.2020;114,8
Bergen - Florida;SN50540;06.2020;45,2
Bergen - Florida;SN50540;07.2020;225,6
Bergen - Florida;SN50540;08.2020;171,7
Bergen - Florida;SN50540;09.2020;382,8
Bergen - Florida;SN50540;10.2020;188,5
Bergen - Florida;SN50540;11.2020;455
Bergen - Florida;SN50540;12.2020;236
Bergen - Florida;SN50540;01.2021;112,4
Bergen - Florida;SN50540;02.2021;119,9
Bergen - Florida;SN50540;03.2021;219,1
Bergen - Florida;SN50540;04.2021;87,9
Bergen - Florida;SN50540;05.2021;53,5
Bergen - Florida;SN50540;06.2021;109,1
Bergen - Florida;SN50540;07.2021;105,7
Bergen - Florida;SN50540;08.2021;66,7
Bergen - Florida;SN50540;09.2021;42,2
Data er gyldig per 18.09.2021 (CC BY 4.0), Meteorologisk institutt (MET);;;
